Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,OKC,23,66,47,19,38.6,28.0,9.7,19.7,49.6,2.0,5.2,38.7,6.5,7.6,86.0,0.6,7.4,8.0,3.5,3.8,1.3,1.2,2.0,46.6,18,0,5.6
2,Kobe Bryant,LAL,33,58,36,22,38.5,27.9,9.9,23.0,43.0,1.5,4.9,30.3,6.6,7.8,84.5,1.1,4.3,5.4,4.6,3.5,1.2,0.3,1.8,42.1,3,0,2.4
3,LeBron James,MIA,27,62,45,17,37.5,27.1,10.0,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,3.4,1.9,0.8,1.5,50.6,23,0,7.6
4,Kevin Love,MIN,23,55,24,31,39.0,26.0,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,4.1,9.2,13.3,2.0,2.3,0.9,0.5,2.8,46.8,48,0,0.5
5,Russell Westbrook,OKC,23,66,47,19,35.3,23.6,8.8,19.2,45.7,0.9,3.0,31.6,5.2,6.3,82.3,1.5,3.1,4.6,5.5,3.6,1.7,0.3,2.2,39.7,7,0,5.6
6,Carmelo Anthony,NYK,28,55,29,26,34.1,22.6,8.0,18.6,43.0,1.2,3.7,33.5,5.4,6.7,80.4,1.6,4.7,6.3,3.6,2.6,1.1,0.4,2.8,37.7,8,1,2.0
7,Dwyane Wade,MIA,30,49,32,17,33.2,22.1,8.5,17.1,49.7,0.3,1.1,26.8,4.8,6.1,79.1,1.5,3.3,4.8,4.6,2.6,1.7,1.3,2.2,41.0,4,0,7.0
8,Derrick Rose,CHI,23,39,32,7,35.2,21.8,7.7,17.8,43.5,1.4,4.4,31.2,5.0,6.1,81.2,0.7,2.7,3.4,7.9,3.1,0.9,0.7,1.3,39.5,9,0,7.4
9,LaMarcus Aldridge,POR,26,55,26,29,36.3,21.7,8.8,17.1,51.2,0.0,0.2,18.2,4.1,5.0,81.4,2.7,5.3,8.0,2.4,2.0,0.9,0.8,2.8,38.2,13,0,2.7
10,Dirk Nowitzki,DAL,34,62,33,29,33.5,21.6,7.6,16.7,45.7,1.3,3.4,36.8,5.1,5.7,89.6,0.7,6.0,6.7,2.2,1.9,0.7,0.5,2.1,34.6,11,0,4.2
11,Deron Williams,NJN,28,55,21,34,36.3,21.0,7.1,17.5,40.7,2.1,6.2,33.6,4.7,5.5,84.3,0.4,2.9,3.3,8.7,4.0,1.2,0.4,2.2,38.9,22,0,-3.3
12,Blake Griffin,LAC,23,66,40,26,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,3.3,7.6,10.9,3.2,2.3,0.8,0.7,3.3,40.9,41,0,5.1
13,Dwight Howard,ORL,26,54,33,21,38.3,20.6,7.7,13.4,57.3,0.0,0.1,0.0,5.2,10.6,49.1,3.7,10.8,14.5,1.9,3.2,1.5,2.1,2.9,48.6,43,0,3.3
14,Eric Gordon,NOH,23,9,6,3,34.5,20.6,7.0,15.6,45.0,1.1,4.4,25.0,5.4,7.2,75.4,0.2,2.6,2.8,3.4,2.7,1.4,0.4,2.2,32.1,0,0,3.8
15,Monta Ellis,MIL,26,58,29,29,36.6,20.4,7.8,17.9,43.3,1.1,3.5,30.8,3.8,4.7,79.6,0.3,3.1,3.4,6.0,3.1,1.5,0.3,2.3,35.7,5,0,-0.5
16,David Lee,GSW,29,57,22,35,37.2,20.1,8.1,16.2,50.3,0.0,0.1,0.0,3.8,4.9,78.2,3.0,6.6,9.6,2.8,2.6,0.9,0.4,3.1,37.2,27,1,-2.5
17,Chris Paul,LAC,27,60,37,23,36.3,19.8,7.1,14.8,47.8,1.3,3.6,37.1,4.3,5.0,86.1,0.7,2.9,3.6,9.1,2.1,2.5,0.1,2.3,43.4,23,0,5.5
18,Andrea Bargnani,TOR,26,31,13,18,33.3,19.5,6.7,15.6,43.2,1.1,3.7,29.6,4.9,5.6,87.3,0.8,4.8,5.5,2.0,2.2,0.6,0.5,1.7,30.0,2,0,-1.4
19,Paul Pierce,BOS,34,61,38,23,34.0,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,0.6,4.6,5.2,4.5,2.8,1.1,0.4,2.4,34.2,6,0,3.1
20,Brook Lopez,NJN,24,5,2,3,27.2,19.2,7.6,15.4,49.4,0.0,0.0,0.0,4.0,6.4,62.5,1.6,2.0,3.6,1.2,1.2,0.2,0.8,1.6,27.1,0,0,-5.4
21,Al Jefferson,UTA,27,61,32,29,34.0,19.2,8.5,17.2,49.2,0.0,0.1,25.0,2.2,2.9,77.4,2.2,7.4,9.6,2.2,1.0,0.8,1.7,2.5,40.2,31,0,2.6
